日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,0.564,0.562,0.565,0.557,5971426,668605040.0,1.42,-0.35,-0.002,0.86
2022-01-05,0.561,0.556,0.562,0.554,7322298,816202192.0,1.42,-1.07,-0.006,1.05
2022-01-06,0.553,0.545,0.554,0.544,9183312,1005046208.0,1.8,-1.98,-0.011,1.32
2022-01-07,0.547,0.545,0.55,0.545,5670500,620733088.0,0.92,0.0,0.0,0.82
2022-01-10,0.546,0.546,0.549,0.545,5256966,574396752.0,0.73,0.18,0.001,0.76
2022-01-11,0.545,0.546,0.551,0.544,7143760,781869456.0,1.28,0.0,0.0,1.03
2022-01-12,0.547,0.548,0.549,0.543,7742182,844867168.0,1.1,0.37,0.002,1.11
2022-01-13,0.55,0.545,0.552,0.544,9691678,1061478016.0,1.46,-0.55,-0.003,1.4
2022-01-14,0.539,0.53,0.539,0.529,11408123,1218557168.0,1.83,-2.75,-0.015,1.64
2022-01-17,0.529,0.535,0.537,0.529,6305957,672372240.0,1.51,0.94,0.005,0.91
2022-01-18,0.534,0.536,0.54,0.532,6336284,678900640.0,1.5,0.19,0.001,0.91
2022-01-19,0.536,0.538,0.543,0.536,6250967,673925408.0,1.31,0.37,0.002,0.9
2022-01-20,0.538,0.546,0.551,0.537,10636946,1159492592.0,2.6,1.49,0.008,1.53
2022-01-21,0.545,0.542,0.547,0.541,6091996,661047616.0,1.1,-0.73,-0.004,0.88
2022-01-24,0.54,0.538,0.543,0.538,5033942,543362560.0,0.92,-0.74,-0.004,0.72
2022-01-25,0.536,0.525,0.538,0.523,7921460,841173744.0,2.79,-2.42,-0.013,1.14
2022-01-26,0.525,0.533,0.534,0.524,7754521,818788096.0,1.9,1.52,0.008,1.12
2022-01-27,0.53,0.521,0.531,0.52,8044786,844634272.0,2.06,-2.25,-0.012,1.16
2022-01-28,0.524,0.516,0.53,0.515,7514920,784730144.0,2.88,-0.96,-0.005,1.08
2022-02-07,0.523,0.523,0.526,0.519,7918112,826676960.0,1.36,1.36,0.007,1.14
2022-02-08,0.523,0.531,0.531,0.519,7278024,764292912.0,2.29,1.53,0.008,1.05
2022-02-09,0.53,0.532,0.533,0.528,5220408,554012448.0,0.94,0.19,0.001,0.75
2022-02-10,0.531,0.532,0.533,0.528,4610160,489270128.0,0.94,0.0,0.0,0.66
2022-02-11,0.531,0.532,0.54,0.53,8003480,855742336.0,1.88,0.0,0.0,1.15
2022-02-14,0.528,0.509,0.528,0.506,16146604,1663563280.0,4.14,-4.32,-0.023,2.32
2022-02-15,0.507,0.509,0.509,0.505,6446743,653573920.0,0.79,0.0,0.0,0.93
2022-02-16,0.511,0.51,0.514,0.508,4644187,474408832.0,1.18,0.2,0.001,0.67
2022-02-17,0.509,0.506,0.511,0.505,5931818,601695552.0,1.18,-0.78,-0.004,0.85
2022-02-18,0.504,0.507,0.508,0.503,5357273,541275824.0,0.99,0.2,0.001,0.77
2022-02-21,0.507,0.507,0.508,0.504,5450915,550860112.0,0.79,0.0,0.0,0.78
2022-02-22,0.503,0.497,0.504,0.496,8882427,886645888.0,1.58,-1.97,-0.01,1.28
2022-02-23,0.498,0.503,0.503,0.497,6967667,697708320.0,1.21,1.21,0.006,1.0
2022-02-24,0.5,0.489,0.502,0.484,10044017,989633376.0,3.58,-2.78,-0.014,1.45
2022-02-25,0.493,0.49,0.496,0.488,6211408,610825168.0,1.64,0.2,0.001,0.89
2022-02-28,0.489,0.488,0.491,0.484,5264209,512256592.0,1.43,-0.41,-0.002,0.76
2022-03-01,0.49,0.493,0.494,0.489,6391956,627567344.0,1.02,1.02,0.005,0.92
2022-03-02,0.49,0.49,0.492,0.489,4409039,432264656.0,0.61,-0.61,-0.003,0.63
2022-03-03,0.492,0.491,0.494,0.489,4637371,455801120.0,1.02,0.2,0.001,0.67
2022-03-04,0.488,0.485,0.488,0.482,6531197,633851056.0,1.22,-1.22,-0.006,0.94
2022-03-07,0.482,0.472,0.482,0.471,7863257,748550928.0,2.27,-2.68,-0.013,1.13
2022-03-08,0.471,0.462,0.475,0.462,7976252,748786960.0,2.75,-2.12,-0.01,1.15
