日期,开盘,最高,最低,收盘,成交量,成交额
2022-01-04,1.372,1.378,1.306,1.313,113823400,150635328
2022-01-05,1.31,1.312,1.257,1.259,223937000,284144230
2022-01-06,1.25,1.271,1.231,1.264,159758576,200577439
2022-01-07,1.264,1.27,1.226,1.235,114976700,142847889
2022-01-10,1.227,1.241,1.215,1.227,103212200,126800382
2022-01-11,1.225,1.24,1.209,1.213,91196368,111196078
2022-01-12,1.229,1.262,1.229,1.261,145455600,181300662
2022-01-13,1.262,1.265,1.231,1.24,101891900,126780858
2022-01-14,1.23,1.262,1.227,1.254,100306600,125519443
2022-01-17,1.254,1.284,1.252,1.271,92194400,117165342
2022-01-18,1.267,1.275,1.255,1.265,73945800,93572770
2022-01-19,1.259,1.263,1.216,1.228,126181700,155487692
2022-01-20,1.225,1.236,1.215,1.219,77874500,95305499
2022-01-21,1.215,1.235,1.204,1.221,81161700,99109773
2022-01-24,1.211,1.257,1.205,1.249,123117300,152398917
2022-01-25,1.246,1.259,1.221,1.223,119156031,147766804
2022-01-26,1.231,1.245,1.22,1.243,99780000,123384799
2022-01-27,1.235,1.248,1.204,1.207,110883650,136011540
2022-01-28,1.22,1.227,1.17,1.195,113392200,135954930
2022-02-07,1.22,1.239,1.201,1.209,101533900,123779220
2022-02-08,1.206,1.209,1.137,1.166,137383164,159826003
2022-02-09,1.161,1.176,1.141,1.172,113078300,131298300
2022-02-10,1.173,1.176,1.125,1.139,143563901,164157000
2022-02-11,1.128,1.146,1.111,1.114,118398100,133549333
2022-02-14,1.102,1.133,1.095,1.116,105183991,117665265
2022-02-15,1.12,1.164,1.117,1.163,163743090,187178453
2022-02-16,1.18,1.18,1.156,1.161,92496200,107796147
2022-02-17,1.154,1.204,1.153,1.193,155034500,183567001
2022-02-18,1.179,1.191,1.173,1.182,94609900,111618440
2022-02-21,1.181,1.186,1.163,1.176,81403400,95497318
2022-02-22,1.17,1.19,1.161,1.185,96989400,114091977
2022-02-23,1.183,1.226,1.183,1.225,116228300,141165598
2022-02-24,1.212,1.247,1.198,1.219,136762900,167358900
2022-02-25,1.235,1.257,1.23,1.243,108584300,135077158
